Run,Generation,BestFitness
1,315,969,0000
1,316,969,0000
1,317,969,0000
1,318,969,0000
1,319,969,0000
1,320,969,0000
1,321,969,0000
1,322,969,0000
1,323,969,0000
1,324,969,0000
1,325,969,0000
1,326,970,0000
1,327,970,0000
1,328,970,0000
1,329,972,0000
1,330,972,0000
1,331,972,0000
1,332,972,0000
1,333,972,0000
1,334,972,0000
1,335,972,0000
1,336,975,0000
1,337,975,0000
1,338,975,0000
1,339,975,0000
1,340,975,0000
1,341,975,0000
1,342,978,0000
1,343,978,0000
1,344,978,0000
1,345,979,0000
1,346,979,0000
1,347,980,0000
1,348,980,0000
1,349,980,0000
1,350,980,0000
1,351,981,0000
1,352,981,0000
1,353,981,0000
1,354,981,0000
1,355,982,0000
1,356,982,0000
1,357,982,0000
1,358,982,0000
1,359,982,0000
1,360,982,0000
1,361,982,0000
1,362,982,0000
1,363,983,0000
1,364,983,0000
1,365,984,0000
1,366,987,0000
1,367,987,0000
1,368,987,0000
1,369,987,0000
1,370,987,0000
1,371,987,0000
1,372,987,0000
1,373,987,0000
1,374,987,0000
1,375,987,0000
1,376,987,0000
1,377,987,0000
1,378,987,0000
1,379,990,0000
1,380,990,0000
1,381,990,0000
1,382,990,0000
1,383,991,0000
1,384,991,0000
1,385,991,0000
1,386,991,0000
1,387,991,0000
1,388,991,0000
1,389,991,0000
1,390,991,0000
1,391,994,0000
1,392,994,0000
1,393,994,0000
1,394,994,0000
1,395,994,0000
1,396,994,0000
1,397,994,0000
1,398,994,0000
1,399,994,0000
1,400,1000,0000
1,401,1000,0000
1,402,1000,0000
1,403,1000,0000
1,404,1000,0000
1,405,1000,0000
1,406,1000,0000
1,407,1000,0000
1,408,1000,0000
1,409,1000,0000
1,410,1000,0000
1,411,1000,0000
1,412,1000,0000
1,413,1000,0000
1,414,1000,0000
1,415,1000,0000
1,416,1000,0000
1,417,1000,0000
1,418,1000,0000
1,419,1000,0000
1,420,1000,0000
1,421,1000,0000
1,422,1000,0000
1,423,1000,0000
1,424,1000,0000
1,425,1000,0000
1,426,1000,0000
1,427,1000,0000
1,428,1000,0000
1,429,1000,0000
1,430,1000,0000
1,431,1000,0000
1,432,1000,0000
1,433,1001,0000
1,434,1003,0000
1,435,1005,0000
1,436,1005,0000
1,437,1005,0000
1,438,1005,0000
1,439,1005,0000
1,440,1007,0000
1,441,1007,0000
1,442,1007,0000
1,443,1007,0000
1,444,1007,0000
1,445,1007,0000
1,446,1007,0000
1,447,1009,0000
1,448,1009,0000
1,449,1009,0000
1,450,1009,0000
1,451,1009,0000
1,452,1009,0000
1,453,1009,0000
1,454,1010,0000
1,455,1010,0000
1,456,1010,0000
1,457,1010,0000
1,458,1010,0000
1,459,1010,0000
1,460,1012,0000
1,461,1012,0000
1,462,1012,0000
1,463,1012,0000
1,464,1012,0000
1,465,1012,0000
1,466,1013,0000
1,467,1013,0000
1,468,1013,0000
1,469,1013,0000
1,470,1013,0000
1,471,1013,0000
1,472,1014,0000
1,473,1014,0000
1,474,1014,0000
1,475,1014,0000
1,476,1014,0000
1,477,1014,0000
1,478,1014,0000
1,479,1014,0000
1,480,1014,0000
1,481,1014,0000
1,482,1014,0000
1,483,1014,0000
1,484,1014,0000
1,485,1018,0000
1,486,1018,0000
1,487,1018,0000
1,488,1018,0000
1,489,1018,0000
1,490,1018,0000
1,491,1018,0000
1,492,1018,0000
1,493,1022,0000
1,494,1022,0000
1,495,1022,0000
1,496,1022,0000
1,497,1022,0000
1,498,1022,0000
1,499,1022,0000
1,500,1022,0000
1,501,1022,0000
1,502,1022,0000
1,503,1022,0000
1,504,1022,0000
1,505,1022,0000
1,506,1022,0000
1,507,1022,0000
1,508,1025,0000
1,509,1025,0000
1,510,1025,0000
1,511,1025,0000
1,512,1025,0000
1,513,1025,0000
1,514,1025,0000
1,515,1025,0000
1,516,1025,0000
1,517,1025,0000
1,518,1025,0000
1,519,1025,0000
1,520,1025,0000
1,521,1025,0000
1,522,1025,0000
1,523,1025,0000
1,524,1025,0000
1,525,1025,0000
1,526,1025,0000
1,527,1025,0000
1,528,1025,0000
1,529,1025,0000
1,530,1025,0000
1,531,1026,0000
1,532,1026,0000
1,533,1026,0000
1,534,1026,0000
1,535,1026,0000
1,536,1026,0000
1,537,1026,0000
1,538,1028,0000
1,539,1028,0000
1,540,1028,0000
1,541,1028,0000
1,542,1028,0000
1,543,1028,0000
1,544,1028,0000
1,545,1028,0000
1,546,1029,0000
1,547,1029,0000
1,548,1031,0000
1,549,1031,0000
1,550,1031,0000
1,551,1031,0000
1,552,1031,0000
1,553,1031,0000
1,554,1031,0000
1,555,1032,0000
1,556,1034,0000
1,557,1034,0000
1,558,1038,0000
1,559,1038,0000
1,560,1038,0000
1,561,1038,0000
1,562,1038,0000
1,563,1038,0000
1,564,1039,0000
1,565,1039,0000
1,566,1040,0000
1,567,1046,0000
1,568,1046,0000
1,569,1048,0000
1,570,1048,0000
1,571,1048,0000
1,572,1048,0000
1,573,1048,0000
1,574,1048,0000
1,575,1048,0000
1,576,1050,0000
1,577,1051,0000
1,578,1051,0000
1,579,1051,0000
1,580,1055,0000
1,581,1055,0000
1,582,1055,0000
1,583,1056,0000
1,584,1058,0000
1,585,1058,0000
1,586,1059,0000
1,587,1059,0000
1,588,1059,0000
1,589,1060,0000
1,590,1062,0000
1,591,1062,0000
1,592,1062,0000
1,593,1062,0000
1,594,1062,0000
1,595,1064,0000
1,596,1064,0000
1,597,1065,0000
1,598,1065,0000
1,599,1072,0000
1,600,1072,0000
1,601,1072,0000
1,602,1072,0000
1,603,1073,0000
1,604,1074,0000
1,605,1074,0000
1,606,1074,0000
1,607,1074,0000
1,608,1074,0000
1,609,1074,0000
1,610,1075,0000
1,611,1078,0000
1,612,1078,0000
1,613,1078,0000
1,614,1082,0000
1,615,1082,0000
1,616,1082,0000
1,617,1082,0000
1,618,1082,0000
1,619,1085,0000
1,620,1085,0000
1,621,1086,0000
1,622,1086,0000
1,623,1087,0000
1,624,1087,0000
1,625,1088,0000
1,626,1088,0000
1,627,1088,0000
1,628,1088,0000
1,629,1089,0000
1,630,1090,0000
1,631,1091,0000
1,632,1091,0000
1,633,1091,0000
1,634,1091,0000
1,635,1093,0000
1,636,1095,0000
1,637,1095,0000
1,638,1096,0000
1,639,1096,0000
1,640,1098,0000
1,641,1098,0000
1,642,1100,0000
1,643,1100,0000
1,644,1100,0000
1,645,1100,0000
1,646,1100,0000
1,647,1100,0000
1,648,1100,0000
1,649,1100,0000
1,650,1102,0000
1,651,1102,0000
1,652,1102,0000
1,653,1102,0000
1,654,1102,0000
1,655,1102,0000
1,656,1103,0000
1,657,1105,0000
1,658,1105,0000
1,659,1105,0000
1,660,1106,0000
1,661,1108,0000
1,662,1110,0000
1,663,1110,0000
1,664,1113,0000
1,665,1113,0000
1,666,1113,0000
1,667,1113,0000
1,668,1114,0000
1,669,1114,0000
1,670,1114,0000
1,671,1117,0000
1,672,1117,0000
1,673,1117,0000
1,674,1120,0000
1,675,1120,0000
1,676,1120,0000
1,677,1120,0000
1,678,1120,0000
1,679,1120,0000
1,680,1120,0000
1,681,1120,0000
1,682,1120,0000
1,683,1120,0000
1,684,1120,0000
1,685,1120,0000
1,686,1121,0000
1,687,1121,0000
1,688,1121,0000
1,689,1121,0000
1,690,1121,0000
1,691,1121,0000
1,692,1121,0000
1,693,1121,0000
1,694,1121,0000
1,695,1122,0000
1,696,1122,0000
1,697,1125,0000
1,698,1125,0000
1,699,1125,0000
1,700,1125,0000
1,701,1125,0000
1,702,1125,0000
1,703,1126,0000
1,704,1128,0000
1,705,1129,0000
1,706,1129,0000
1,707,1131,0000
1,708,1131,0000
1,709,1133,0000
1,710,1136,0000
1,711,1136,0000
1,712,1136,0000
1,713,1137,0000
1,714,1137,0000
1,715,1140,0000
1,716,1140,0000
1,717,1140,0000
1,718,1140,0000
1,719,1140,0000
1,720,1140,0000
1,721,1140,0000
1,722,1141,0000
1,723,1141,0000
1,724,1141,0000
1,725,1143,0000
1,726,1143,0000
1,727,1145,0000
1,728,1145,0000
1,729,1146,0000
1,730,1146,0000
1,731,1148,0000
1,732,1149,0000
1,733,1152,0000
1,734,1152,0000
1,735,1152,0000
1,736,1155,0000
1,737,1155,0000
1,738,1155,0000
1,739,1155,0000
1,740,1155,0000
1,741,1158,0000
1,742,1158,0000
1,743,1158,0000
1,744,1158,0000
1,745,1158,0000
1,746,1162,0000
1,747,1162,0000
1,748,1162,0000
